calories	protein	fat	sodium	fiber	carbo	sugars	potass	vitamins	shelf	weight	cups	rating	name
100	3	2	140	2.5	10.5	8	140	25	3	1	0.5	39.7034	Raisin_Nut_Bran
90	2	0	0	2	15	6	110	25	3	1	0.5	55.333142	Raisin_Squares
110	1	0	240	0	23	2	30	25	1	1	1.13	41.998933	Rice_Chex
110	2	0	290	0	22	3	35	25	1	1	1	40.560159	Rice_Krispies
80	2	0	0	3	16	0	95	0	1	0.83	1	68.235885	Shredded_Wheat
90	3	0	0	4	19	0	140	0	1	1	0.67	74.472949	Shredded_Wheat_'n'Bran
90	3	0	0	3	20	0	120	0	1	1	0.67	72.801787	Shredded_Wheat_spoon_size
110	2	1	70	1	9	15	40	25	2	1	0.75	31.230054	Smacks
110	6	0	230	1	16	3	55	25	1	1	1	53.131324	Special_K
90	2	0	15	3	15	5	90	25	2	1	1	59.363993	Strawberry_Fruit_Wheats
110	2	1	200	0	21	3	35	100	3	1	1	38.839746	Total_Corn_Flakes
140	3	1	190	4	15	14	230	100	3	1.5	1	28.592785	Total_Raisin_Bran
100	3	1	200	3	16	3	110	100	3	1	1	46.658844	Total_Whole_Grain
110	2	1	250	0	21	3	60	25	3	1	0.75	39.106174	Triples
110	1	1	140	0	13	12	25	25	2	1	1	27.753301	Trix
100	3	1	230	3	17	3	115	25	1	1	0.67	49.787445	Wheat_Chex
100	3	1	200	3	17	3	110	25	1	1	1	51.592193	Wheaties
110	2	1	200	1	16	8	60	25	1	1	0.75	36.187559	Wheaties_Honey_Gold
